,,,,,,,,,,,,Autoconceito,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Social,Social,Social,Social,Social,Escolar,Escolar,Escolar,Escolar,Escolar,Escolar,Pessoal,Pessoal,Pessoal,Pessoal,Pessoal,Familiar,Familiar,Familiar,Familiar,,,,
ID do Aluno,Qual seu gênero?,Em qual turma você está?,Selecione 2 matérias que você menos gosta ou tem mais dificuldade,Selecione 2 matérias que você mais gosta ou tem menos dificuldade,Conta pra gente: qual o seu maior sonho?,"Hoje, o quanto você se sente capaz de realizar esse sonho?",Marque abaixo até 2 razões que mais fazem você faltar na escola,Selecione até 3 coisas que você mais gosta na sua escola,Com que frequência você pensa em abandonar a escola?,Nos últimos 12 meses (Março-2024 até Março-2025). Com que frequência você foi vítima de bullying ou agressões enquanto estava na escola.,Você já participou dessas oportunidades abaixo? Marque as que você já participou/pensa em participar,Acho que sou o pior da turma.,Acho que sou o mais burro dos meus amigos. ,Me considero o mais bobo dos meus amigos.,Me sinto mais esquisito do que os outros.,Sinto que não consigo ajudar meus amigos ,Me considero o mais esperto da classe. ,Penso que sou o mais engraçado da classe. ,"Quando perco em algum jogo, prefiro ficar sozinho",Gosto de ser o líder nos trabalhos em grupo. ,Imagino que sou o mais bondoso da classe ,Meus colegas concordam com tudo o que falo. ,Acho que sou muito preocupado ,"Quando erro, me sinto muito mal. ",Me considero muito nervoso ,Tenho muitos problemas. ,Tenho medo ,Tomo muito cuidado com as coisas em casa. ,Fico alegre quando estou com meus irmãos ,Digo a verdade quando estou com minha família. ,Quando ajudo em casa faço tudo certo. ,Nota Matemática,Nota Português,Quão fácil foi preencher este formulário? ,Tem mais alguma coisa que você gostaria de dizer sobre você ou sobre sua escola?
X001,Mulher,6ºA,"História, Arte","Português, Educação Física",Ser médica,Muito capaz,"Chuva ou tempo ruim, Doença (gripe, virose, entre outros)","A forma como algum professor ou funcionário da escola te trata, Seus amigos, Os jogos, esportes ou eventos da escola",Não penso em abandonar a escola,Não fui vítima de bullying/agressões nos últimos 12 meses,Não conheço/Nunca participei de nenhuma,Nunca,Nunca,Às vezes,Nunca,Às vezes,Às vezes,Às vezes,Às vezes,Às vezes,Às vezes,Às vezes,Sempre,Sempre,Sempre,Nunca,Sempre,Sempre,Às vezes,Às vezes,Às vezes,3,2,4,Não
X002,Homem,6ºA,"História, Geografia","Português, Matemática",quero me formar em enfermagem,Normal,"Doença (gripe, virose, entre outros), Problemas de transporte (ônibus atrasado, trânsito, etc)","A forma como algum professor ou funcionário da escola te trata, Como os professores ouvem você e os outros alunos, A segurança da escola",Não penso em abandonar a escola,Não fui vítima de bullying/agressões nos últimos 12 meses,"Olimpíadas (OBMEP, OBA, OMN, Canguru de Matemática)",Nunca,Nunca,Nunca,Às vezes,Sempre,Às vezes,Às vezes,Nunca,Nunca,Sempre,Às vezes,Sempre,Sempre,Às vezes,Às vezes,Nunca,Sempre,Às vezes,Sempre,Sempre,7,3,4, A ESCOLA E MUITO BOA
X003,Homem,6ºA,"História, Geografia","Português, Educação Física",SER JOGADOR DE FUTEBOL,Normal,"Cuidar de familiares (avós, irmãos), Doença (gripe, virose, entre outros)","A forma como os professores explicam a matéria, Seus amigos, Os jogos, esportes ou eventos da escola",Muitas vezes,Não fui vítima de bullying/agressões nos últimos 12 meses,Não conheço/Nunca participei de nenhuma,Às vezes,Sempre,Nunca,Nunca,Sempre,Nunca,Nunca,Sempre,Nunca,Nunca,Nunca,Sempre,Nunca,Às vezes,Sempre,Sempre,Nunca,Nunca,Nunca,Nunca,0,4,4,
X004,Homem,6ºA,"Arte, Projeto de Vida","Matemática, Educação Física",Ser jogador de futebol,Pouco capaz,"Chuva ou tempo ruim, Doença (gripe, virose, entre outros)","A forma como os professores explicam a matéria, Seus amigos, Os jogos, esportes ou eventos da escola",Poucas vezes,Não fui vítima de bullying/agressões nos últimos 12 meses,"Olimpíadas (OBMEP, OBA, OMN, Canguru de Matemática)",Nunca,Nunca,Nunca,Às vezes,Nunca,Às vezes,Nunca,Às vezes,Nunca,Às vezes,Às vezes,Sempre,Sempre,Sempre,Sempre,Às vezes,Às vezes,Nunca,Às vezes,Sempre,0,7,4,Por enquanto não
X005,Homem,6ºA,"Ciências, Arte","Português, Educação Física",ser jogador de futebol ,Não me vejo alcançando esse sonho,"Cuidar de familiares (avós, irmãos), Doença (gripe, virose, entre outros)","A forma como os professores explicam a matéria, Seus amigos, Os jogos, esportes ou eventos da escola",Poucas vezes,Não fui vítima de bullying/agressões nos últimos 12 meses,"Olimpíadas (OBMEP, OBA, OMN, Canguru de Matemática)",Sempre,Sempre,Sempre,Sempre,Às vezes,Nunca,Às vezes,Nunca,Sempre,Às vezes,Às vezes,Às vezes,Às vezes,Às vezes,Às vezes,Às vezes,Às vezes,Às vezes,Sempre,Às vezes,2,1,4,não
X006,Mulher,6ºA,"História, Projeto de Vida","Matemática, Geografia",Me formar em letras,Normal,"Chuva ou tempo ruim, Cuidar de familiares (avós, irmãos)","A forma como os professores explicam a matéria, Seus amigos, Como os professores ouvem você e os outros alunos",Não penso em abandonar a escola,Não fui vítima de bullying/agressões nos últimos 12 meses,"Olimpíadas (OBMEP, OBA, OMN, Canguru de Matemática)",Nunca,Nunca,Às vezes,Às vezes,Às vezes,Às vezes,Nunca,Às vezes,Sempre,Às vezes,Às vezes,Sempre,Às vezes,Nunca,Sempre,Às vezes,Sempre,Às vezes,Às vezes,Às vezes,4,9,4,É a melhor escola que eu já estudei
X007,Homem,6ºA,"História, Geografia","Matemática, Educação Física",Ser jogador de futebol,Muito capaz,"Chuva ou tempo ruim, Doença (gripe, virose, entre outros)","A forma como a direção ou coordenação te tratam, Seus amigos, Os jogos, esportes ou eventos da escola",Não penso em abandonar a escola,Não fui vítima de bullying/agressões nos últimos 12 meses,JEESP (Jogos Escolares do Estado de São Paulo),Nunca,Nunca,Às vezes,Nunca,Sempre,Às vezes,Às vezes,Nunca,Às vezes,Às vezes,Às vezes,Às vezes,Sempre,Às vezes,Às vezes,Às vezes,Às vezes,Às vezes,Nunca,Sempre,10,4,4,Não
